firstname,lastname,email,dateOfBirth,schoolClass,phoneNumber
Hadleigh,Plessing,hplessing0@yellowbook.com,04-09-2022,HIGH_SCHOOL_1TH_GRADE,3223749655
Kellsie,Van den Oord,kvandenoord1@blinklist.com,09-06-2022,HIGH_SCHOOL_1TH_GRADE,5104343127
Bryn,Porter,bporter2@mayoclinic.com,30-04-2022,HIGH_SCHOOL_1TH_GRADE,8816695844
Susi,Broster,sbroster3@columbia.edu,30-11-2021,HIGH_SCHOOL_1TH_GRADE,3346228907
Walsh,Grestye,wgrestye4@parallels.com,14-10-2021,HIGH_SCHOOL_1TH_GRADE,8227923172
Perle,Kitlee,pkitlee5@meetup.com,17-01-2022,HIGH_SCHOOL_1TH_GRADE,8478680717
Jesse,Syvret,jsyvret6@cloudflare.com,03-03-2022,HIGH_SCHOOL_1TH_GRADE,7259222312
Kacey,Gosz,kgosz7@columbia.edu,20-08-2021,HIGH_SCHOOL_1TH_GRADE,6172680918
Shanan,Sneddon,ssneddon8@deviantart.com,24-10-2023,HIGH_SCHOOL_1TH_GRADE,9494440614
Bentley,Tustin,btustin9@hubpages.com,22-01-2023,HIGH_SCHOOL_1TH_GRADE,3613118127
Fiann,Heake,fheakea@boston.com,29-08-2022,HIGH_SCHOOL_1TH_GRADE,8654738690
Candis,Grice,cgriceb@virginia.edu,23-10-2022,HIGH_SCHOOL_1TH_GRADE,3236777330
Claudelle,Monini,cmoninic@mtv.com,07-06-2023,HIGH_SCHOOL_1TH_GRADE,3665259836
Skylar,Fryatt,sfryattd@hugedomains.com,06-07-2023,HIGH_SCHOOL_1TH_GRADE,1527950758
Glenn,Innis,ginnise@trellian.com,20-01-2022,HIGH_SCHOOL_1TH_GRADE,9424418682
Dennison,Udy,dudyf@cargocollective.com,04-01-2022,HIGH_SCHOOL_1TH_GRADE,2653664199
Kaylyn,Karpov,kkarpovg@nifty.com,28-05-2022,HIGH_SCHOOL_1TH_GRADE,2191038101
Lishe,Renneke,lrennekeh@walmart.com,07-11-2023,HIGH_SCHOOL_1TH_GRADE,2394461073
Shellysheldon,Loyd,sloydi@go.com,29-07-2021,HIGH_SCHOOL_1TH_GRADE,1536295804
Gui,Crimin,gcriminj@jiathis.com,06-11-2022,HIGH_SCHOOL_1TH_GRADE,6952526106
Ernesto,Marchment,emarchmentk@ca.gov,16-10-2021,HIGH_SCHOOL_1TH_GRADE,4299939389
Ingelbert,Bartens,ibartensl@webmd.com,19-06-2023,HIGH_SCHOOL_1TH_GRADE,4945188857
Egan,Kiendl,ekiendlm@creativecommons.org,12-07-2021,HIGH_SCHOOL_1TH_GRADE,9984029912
Jacinthe,Weafer,jweafern@loc.gov,27-01-2023,HIGH_SCHOOL_1TH_GRADE,6084165096
Melinda,Boam,mboamo@constantcontact.com,11-10-2022,HIGH_SCHOOL_1TH_GRADE,9914371490
Garrik,McAlees,gmcaleesp@deliciousdays.com,19-10-2021,HIGH_SCHOOL_1TH_GRADE,6446691362
Barry,Pavinese,bpavineseq@time.com,08-06-2023,HIGH_SCHOOL_1TH_GRADE,4929117246
Devonne,Falkus,dfalkusr@disqus.com,12-04-2022,HIGH_SCHOOL_1TH_GRADE,7537505323
Britni,Duckitt,bduckitts@storify.com,10-09-2023,HIGH_SCHOOL_1TH_GRADE,9452799887
Dur,Duckworth,dduckwortht@dmoz.org,29-10-2023,HIGH_SCHOOL_1TH_GRADE,9641692361
Shantee,Duxbarry,sduxbarryu@japanpost.jp,17-12-2021,HIGH_SCHOOL_1TH_GRADE,6252163797
Germayne,Pearn,gpearnv@example.com,24-07-2023,HIGH_SCHOOL_1TH_GRADE,2418486996
Marcille,Chalk,mchalkw@answers.com,04-08-2022,HIGH_SCHOOL_1TH_GRADE,6635596546
Dina,Spiniello,dspiniellox@businessweek.com,08-01-2023,HIGH_SCHOOL_1TH_GRADE,6205264368
Barbara,Krook,bkrooky@dropbox.com,24-09-2022,HIGH_SCHOOL_1TH_GRADE,1277595501
Hildy,Jearum,hjearumz@360.cn,07-12-2022,HIGH_SCHOOL_1TH_GRADE,6103971857
Trstram,Carvell,tcarvell10@eventbrite.com,27-10-2022,HIGH_SCHOOL_1TH_GRADE,5628723675
Malia,Grinyer,mgrinyer11@wordpress.org,03-10-2021,HIGH_SCHOOL_1TH_GRADE,7164279444
Granny,Hartington,ghartington12@timesonline.co.uk,14-01-2023,HIGH_SCHOOL_1TH_GRADE,4617804101
Mair,Sivyer,msivyer13@deliciousdays.com,29-03-2022,HIGH_SCHOOL_1TH_GRADE,4663669638
Florella,Smallshaw,fsmallshaw14@exblog.jp,16-06-2023,HIGH_SCHOOL_1TH_GRADE,5712734215
Marve,Aulds,maulds15@newsvine.com,03-11-2022,HIGH_SCHOOL_1TH_GRADE,1394867630
Katrinka,Johann,kjohann16@foxnews.com,05-11-2021,HIGH_SCHOOL_1TH_GRADE,5398680443
Halsy,Lardez,hlardez17@mayoclinic.com,26-04-2022,HIGH_SCHOOL_1TH_GRADE,2065690124
Hunfredo,Briamo,hbriamo18@netvibes.com,02-08-2023,HIGH_SCHOOL_1TH_GRADE,9197787536
Meredithe,Roadknight,mroadknight19@usnews.com,04-01-2022,HIGH_SCHOOL_1TH_GRADE,1101246410
Krishnah,Innocenti,kinnocenti1a@foxnews.com,15-08-2022,HIGH_SCHOOL_1TH_GRADE,7917738085
Mariejeanne,MacGragh,mmacgragh1b@oakley.com,31-08-2023,HIGH_SCHOOL_1TH_GRADE,1299979567
Juliann,Goggen,jgoggen1c@1688.com,27-04-2022,HIGH_SCHOOL_1TH_GRADE,8578621562
Brandie,Stirzaker,bstirzaker1d@ifeng.com,18-10-2023,HIGH_SCHOOL_1TH_GRADE,3089559925
Stacey,Applin,sapplin1e@multiply.com,24-09-2022,HIGH_SCHOOL_1TH_GRADE,8829245100
Curtis,Olyff,colyff1f@timesonline.co.uk,20-01-2023,HIGH_SCHOOL_1TH_GRADE,1748884019
Billy,Clinning,bclinning1g@icio.us,14-01-2023,HIGH_SCHOOL_1TH_GRADE,7328187407
Shell,Gerty,sgerty1h@ifeng.com,22-07-2023,HIGH_SCHOOL_1TH_GRADE,4543190707
Pavel,Leguay,pleguay1i@netscape.com,14-05-2022,HIGH_SCHOOL_1TH_GRADE,5722706629
Ulises,Summerson,usummerson1j@apple.com,12-05-2022,HIGH_SCHOOL_1TH_GRADE,8961358279
Chiquia,Thandi,cthandi1k@webnode.com,09-07-2023,HIGH_SCHOOL_1TH_GRADE,9603261277
Pembroke,Bosanko,pbosanko1l@netvibes.com,11-08-2021,HIGH_SCHOOL_1TH_GRADE,8819447472
Gaylord,Bolf,gbolf1m@mapy.cz,23-02-2022,HIGH_SCHOOL_1TH_GRADE,8086200784
Costa,Leer,cleer1n@so-net.ne.jp,27-05-2022,HIGH_SCHOOL_1TH_GRADE,5746101150
Ellie,Enrietto,eenrietto1o@cisco.com,13-04-2022,HIGH_SCHOOL_1TH_GRADE,7885119615
Gwenette,Cessford,gcessford1p@twitter.com,10-06-2022,HIGH_SCHOOL_1TH_GRADE,9887605381
Elwin,Broschek,ebroschek1q@lycos.com,03-02-2023,HIGH_SCHOOL_1TH_GRADE,8814188410
Teresa,Arent,tarent1r@opera.com,26-10-2022,HIGH_SCHOOL_1TH_GRADE,8535881230
